lemma,uri
circumluceo,c1803
circumluo,c1804
circumlustro,c1805
circummeo,c1808
circummetio,c1809
circummetior,132843
circummingo,c1810
circummitto,c1811
circummoenio,104971
circummoueo,c1812
circummugio,c1813
circummulceo,c1814
circummunio,c1815
circumnauigo,c1819
circumnecto,c1821
circumno,c1820
circumnoto,c1822
circumobruo,c1823
circumpauio,c1826
circumpendeo,c1828
circumplaudo,c1831
circumplecto,20938
circumplector,c1832
circumplexor,132844
circumplico,c1833
circumplumbo,c1834
circumpono,c1835
circumproiicio,104986
circumpulso,c1838
circumpungo,38516
circumpurgo,c1839
circumputo,c1840
circumrado,c1842
circumrefero,c1844
circumretio,c1845
circumrodo,c1846
circumroro,c1847
circumroto,c1848
circumrumpo,c1849
circumsaepio,c1850
circumsaeuio,c1851
circumsalto,53783
circumscalpo,c1853
circumscariphico,40667
circumscaripho,c1854
circumscindo,c1855
circumscribo,c1856
circumseco,c1859
circumsedeo,c1861
circumseparo,c1862
circumsepio,46075
circumsero,c1863
circumsideo,c1861
circumsido,c1861
circumsigno,c1865
circumsilio,c1866
circumsisto,c1867
circumsoluo,c1869
circumsono,c1870
circumspargo,51998
circumspecto,c1875
circumspergo,c1877
circumspicio,c1878
circumspiro,c1879
circumspumo,c1880
circumstagno,c1881
circumstipo,c1883
circumsto,c1867
circumstrepo,c1888
circumstringo,c1890
circumstruo,c1891
circumstupeo,c1892
circumsudo,c1893
circumsurgo,c1894
circumtego,c1896
circumtendo,c1897
circumteneo,c1898
circumtergeo,c1899
circumtermino,c1900
circumtero,c1901
circumtinnio,c1903
circumtollo,c1904
circumtondeo,37254
circumtono,c1905
circumtorqueo,c1907
circumtraho,c1908
circumtremo,105025
circumtueor,c1909
circumtundo,c1910
circumuado,c1911
circumuagor,c1912
circumuallo,c1914
circumuectitor,c1916
circumuecto,44425
circumuector,c1917
circumuehor,c1918
circumuelo,c1920
circumuenio,c1921
circumuerro,c1925
circumuerso,105035
circumuersor,c1927
circumuerto,c1928
circumuestio,c1929
circumuincio,c1930
circumuiso,c1931
circumungo,c1933
circumuolito,c1934
circumuolo,c1935
circumuoluo,c1936
circumuoluto,105044
circumuolutor,c1938
circumuorso,105046
circumuorto,105047
circundo,47830
cispello,105056
citharizo,c1986
cito,c1991
ciuilizo,45001
ciuito,105070
clamito,c2018
clamo,c2019
clanculo,105080
clango,c2027
clareo,c2030
claresco,c2030
claricito,97894
clarico,c2031
clarifico,c2033
clarigito,c2037
clarigo,c2038
claro,c2044
clathro,105089
clatro,c2054
claudeo,c2058
claudeor,132847
claudico,c2060
claudo,c7058
claudo,c2058
claudor,132848
clauo,c2072
clepo,c2089
clepto,c2092
clingo,c2115
clino,c2117
clipeo,c2121
cloaco,c2137
clocito,c2139
clodico,32271
clodo,105136
clodor,c2140
clonizo,56718
cloo,105139
clucio,c2143
cludo,49269
clueo,c2145
clueor,132303
cluo,c7146
clupeo,97910
clypeo,55370
clysterio,c2160
clysterizo,c2162
coaccedo,42172
coaceruo,c2176
coacesco,c2177
coacto,c2185
coaddo,c2189
coadiicio,105172
coadimpleo,105173
coadiuto,44981
coadiuuo,c2191
coadolesco,c2192
coadoro,c2193
coadsum,105176
coadulesco,105177
coaduno,c2196
coaedifico,c2198
coaegresco,34105
coaegroto,c2199
coaequo,c2201
coaestimo,c2202
coaetaneo,41388
coaeto,c2206
coaggero,c2209
coagito,c2210
coagmento,c2212
coagulo,c2217
coalesco,c2219
coalo,c0283
coaltercor,132850
coambulo,c2222
coangusto,c2224
coappello,105203
coapto,c3955
coarcto,30538
coareo,105208
coaresco,105209
coarguo,c2229
coarmo,c2232
coarticulo,c2234
coarto,c2235
coascendo,105213
coasso,105214
coassumo,105215
coattestor,132851
coaudio,c2238
coaudito,35438
coaxo,c2241
cocino,28813
cocionor,c2262
cocito,52289
coco,46864
coctito,c7250
coelo,105259
coemitto,105261
coemo,c2268
coenaturio,105265
coenito,105267
coeno,36780
coeo,c2280
coepio,c2281
coepto,c2285
coepulor,c2286
coerceo,c2287
coero,105280
coerro,c2290
coexcito,105284
coexercito,c2293
coexsisto,c2294
coexsulo,105288
coexsulto,105289
coextendo,105290
cogito,c4657
cognomino,c4659
cognominor,132306
cognosco,c2322
cogo,c2323
cogulo,45457
cohabito,c2326
cohaereo,c2327
cohaeresco,c1535
coherceo,51724
cohereo,36015
coheresco,105314
cohibeo,c2330
cohonesto,c2333
cohorresco,c2334
cohorto,49097
cohortor,c2341
cohumido,c2344
coicio,54161
coiecto,39241
coimagino,105325
coimbibo,c2346
coincideo,34285
coincido,51031
coinquino,c2349
coinquio,105330
coinquo,c2350
cointellego,105331
cointelligo,50232
coiro,97922
colaphizo,c2353
colesco,c2219
coligo,31288
collabasco,c2365
collabefacto,c2366
collabefio,c2367
collabello,c2368
collabor,c2369
collaboro,c2370
collacero,c2371
collacrimo,c2373
collacrumo,32011
collaetor,c2377
collaeuo,105348
collambo,32804
collatero,c2381
collatro,c2386
collaudo,c2390
collaxo,c2391
collesco,30323
colleuo,c2411
collibeo,97927
collibet,
collibet,c2414
collibro,c2413
collibuit,28666
collicio,c2418
collido,c2421
colligo,c2425
colligo,c2426
collimito,c2429
collimitor,132852
collimo,c2430
collineo,21102
collinio,c2431
collino,c2432
colliquefacio,c2434
colliquefio,c2435
colliquesco,c2436
colliteo,105381
collitesco,105382
colloco,c2441
collocupleto,c2442
colloquor,c2446
collubeo,105384
collubuit,32304
colluceo,c2447
collucesco,c0108
colluco,c2448
colluctor,c2451
colludo,c2453
collugeo,c2455
collumino,c2457
colluo,c2458
collustro,c2465
collutito,32381
colluto,105388
collutulento,c2467
colo,
colo,c2479
coloro,c2507
columbor,c2527
comaudio,51809
combaiulo,c2556
combatuo,105439
combennio,105440
combibo,c2560
combino,c2563
combullio,c2565
comburo,c2566
comedo,c2569
comessatio,97936
comessor,132853
comisatio,97938
comisor,132770
comissor,c2584
comitio,c2592
comito,21160
comitor,c2595
commacero,c2598
commacesco,30111
commaculo,c2600
commadeo,c2601
commaereo,105472
commagnifico,105474
commalaxo,c2603
commalleo,c2604
commalleolo,105475
commalliolo,c7604
commando,c2605
commanduco,c2607
commanducor,132315
commaneo,54406
commanifesto,37177
commarceo,c2614
commarcesco,c2614
commargino,c2615
commasculo,c2618
commastico,c2619
commaturesco,c2622
commeditor,c2627
commeio,105489
commeio,c2628
commeleto,c2629
commemini,c2631
commemoro,c2637
commendo,c4699
commensor,132854
commensuro,34038
commentior,c2655
commento,105501
commentor,c2656
commeo,c2658
commercior,c2660
commercor,c2662
commereo,c2663
commereor,132321
commergo,105505
commessor,132855
commetior,c2664
commeto,c3528
commico,105508
commigro,c2668
commilito,c2671
commingo,
commingo,c2628
comminisco,105515
comminiscor,c2677
commino,50005
commino,c7677
comminor,c2678
comminuo,c2679
commisceo,c2682
commisereor,c2686
commiseresco,c2097
commiseret,48222
commisero,29971
commiseror,c2689
commisor,132856
commitigo,c2694
committo,c2695
commodo,c2704
commoenio,42595
commolior,c2710
commollio,30937
commolo,c2711
commonefacio,c2712
commonefio,c2713
commoneo,c2714
commonstro,c2719
commordeo,c2722
commorior,c2723
commoro,105540
commoror,c2724
commorsico,c2725
commorsito,41525
commortifico,105544
commostro,36794
commoto,c2731
commoueo,c2733
commugeo,c2734
commulceo,c2735
commulco,c2736
commultiplico,c2737
commundo,c2739
communico,c2745
communicor,132330
communifico,105557
communio,c2746
commurmuro,c2753
commurmuror,132331
commuro,44137
commuto,c2756
como,c2757
como,c2758
compaciscor,c2765
compaco,32502
compagino,c2776
compalpo,c2778
comparco,35074
compareo,c2785
comparo,c4812
comparticipo,105577
comparticipor,132857
compartior,c2789
comparturio,c2790
compasco,c2791
compatior,c2797
compauesco,c2802
compauio,c2803
compecco,c2805
compeciscor,132335
compedio,c2806
compello,c2810
compello,c2811
compendifacio,105593
compendio,c2813
compendo,c2816
compenso,c2819
comperco,c2820
comperendino,c2824
compereo,c2826
compericlitor,132858
comperio,c2827
comperior,132336
compesco,c2832
competo,c2836
compilo,c4816
compingo,c2841
compinguesco,c2842
complaceo,c2847
complaco,c2848
complano,c2851
complanto,c2853
complasmo,105611
complaudo,35896
complecto,44296
complector,c2854
compleo,c2856
complexo,c4820
complexor,c2865
complico,c2868
complodo,c2869
comploro,c2871
compluo,c2872
compluor,132339
complut,42490
compondero,c2880
compono,c2881
comporto,c2885
composco,105637
compotio,c7886
compotior,132859
compoto,c7887
compraecido,c7890
compraehendo,105642
compraendo,105643
comprecor,c2894
comprehendo,c2895
comprehenso,c2899
comprendo,31252
compresso,c2902
comprimo,c2904
comprobo,c2909
compromitto,c2912
compropero,105657
compropinquo,105659
compsallo,105661
compugno,c2918
compulso,c2922
compungo,c2925
compurgo,c2927
computesco,c2931
computo,c2932
computresco,c2933
conangusto,45140
conaudito,38937
conbibo,39174
conbino,105675
conbullio,105676
conburo,50248
concaco,c2943
concado,c2944
concalefacio,c2946
concalefio,c2947
concaleo,c2949
concalesco,c2949
concalfacio,105680
concalfio,54418
concallesco,c2951
concalo,c2952
concamaro,42042
concamero,c2954
concandefacio,c2955
concandefio,c4857
concandeo,105683
concandesco,105684
concanto,105685
concapio,c2956
concarno,c2960
concastigo,c2961
concateno,c2963
concauo,c2966
concedo,c2968
concelebro,c2969
concelo,c2972
concenturio,c2977
concepto,c2983
concerno,c2986
concero,57161
concerpo,c2987
concerto,c2992
concertor,132341
concesso,c2996
concido,c3011
concido,c3010
concieo,c3013
concilio,
concilio,c3020
concingo,c3023
concinno,c3030
concino,c3032
concio,c3013
concionor,132342
concipilo,c3033
concipio,c3034
concito,c3042
conclamito,c3046
conclamo,c3047
conclauo,105740
concludo,c3051
concogito,105745
concolligo,105746
concolo,105747
concomitor,c3059
concopulo,105749
concoquo,c3060
concordo,c3066
concorporo,c3070
concrasso,c3072
concrebresco,c3073
concredo,c3074
concreduo,97972
concremo,c3077
concreo,c3078
concrepito,c3080
concrepo,c3081
concresco,c3082
concriminor,c3084
concrispo,c3085
concrucifigo,c3087
concrucio,c3088
concrucior,132861
concrusio,45969
concubeo,54379
concubo,c3099
conculco,c3101
concumbo,c3103
concupio,c2343
concupisco,c3105
concuro,c3112
concurro,c3113
concursito,c3118
concurso,c3119
concuruo,c3120
concustodio,c3124
concutio,c3125
condeceo,45016
condecerno,54628
condecet,c3128
condeclino,c3130
condecoro,c3132
condelecto,39524
condelector,c3136
condeliquesco,c3137
condemno,c3141
condenseo,c6143
condenso,c3143
condepso,c3146
condescendo,c3147
condico,c3154
condio,c3162
condisco,c3165
condiscumbo,105817
condo,c3174
condocefacio,c3175
condocefio,c4858
condoceo,c3176
condoleo,c3178
condolesco,c3178
condomo,c3179
condono,c3182
condormio,c3183
condormisco,c3183
condormito,105828
conduco,c3186
condulco,c3193
condumno,51549
conduplico,c3196
conduro,c3198
condylizo,105835
conecto,c3201
conesto,31283
confabricor,c3204
confabulor,c3207
confacio,54654
confarreo,c3213
confedero,35002
confercio,c3220
confermento,c3221
confero,c3222
conferrumino,c3223
conferuefacio,c3226
conferuefio,c4859
conferueo,c3227
conferuesco,c3227
conferumino,105851
conferuo,34883
confibulo,105857
conficio,c3234
confictito,105858
conficto,c3237
confideo,38940
confido,c3241
configo,c3242
configuro,c3244
confindo,c3246
confingo,c3247
confio,c3235
confirmo,c3256
confisco,c3258
confiteor,c3260
conflabello,c3263
conflaccesco,c3264
conflagro,c3267
conflammo,c3268
confleo,105882
conflicto,c3278
conflictor,132346
confligo,c3281
conflo,c3282
confloreo,c3283
confluctuo,c3284
confluo,c3286
confodio,c3289
confoedero,c3291
confoedo,c3293
confor,132864
conforio,c3296
conformo,c3301
confornico,c3303
confortio,105899
conforto,c3305
confortor,132347
confosso,105900
confoueo,c3306
confracesco,c3307
confremo,c3312
confrequento,c3313
confrico,c3316
confrigo,c3317
confringo,c3318
confrio,c3319
confrixo,c3320
confronto,47151
confugio,c3323
confuit,c3325
confulcio,c3326
confulgeo,c3327
confundo,c3328
confunero,c3329
confuto,c3337
confuto,c3273
confutuo,c3338
congarrio,c3339
congaudeo,c3340
congelasco,c3341
congelesco,105921
congelo,c3343
congemesco,105922
congemino,c3345
congemisco,c2376
congemo,c3346
congenero,c3348
congeniclo,42024
congenuclo,c3351
congermanesco,c3355
congermino,c3359
congero,c3360
congesto,c3366
conglacio,c3370
conglacior,132348
conglisco,c3371
conglobo,c3374
conglomero,c3376
conglorifico,c3377
conglorior,132865
conglutino,c3379
conglutinor,132349
congraeco,c3383
congratulor,c3385
congredio,105941
congredior,c3386
congrego,c3393
congruo,c3400
congyro,c3402
coniaceo,c3403
conicio,c3404
coniecto,c3411
coniecturo,105952
coniero,105954
coniicio,49170
coninquo,38150
conisco,105955
conitor,132352
coniubeo,49491
coniucundor,c3419
coniudico,105957
coniueo,38952
coniugo,c3428
coniuncto,105963
coniungo,c3435
coniuro,c3440
conlabasco,36281
conlabefacto,31891
conlabefio,46551
conlabello,33151
conlabo,41365
conlabor,132354
conlacero,42191
conlacrimo,50227
conlacrumo,105966
conlaetor,132309
conlatero,35121
conlatro,56745
conlaudo,44374
conlaxo,37807
conlesco,56088
conleuo,41030
conlibet,31292
conlibro,47769
conlibuit,51758
conlicio,45080
conlido,34835
conligo,30523
conlimito,50313
conlimo,51820
conlineo,52489
conlinio,105968
conlino,44380
conliquefacio,31594
conliquefio,41408
conliquesco,41449
conloco,54330
conlocupleto,49479
conloquor,132355
conlubeo,105969
conlubuit,28698
conluceo,28523
conluco,48356
conluctor,132356
conludo,49233
conlugeo,37153
conlumino,50893
conluo,47901
conlustro,97998
conlutito,31285
conmemoro,47352
conmereo,51812
conmetior,132357
conmitigo,53598
conmitto,35837
conmonefacio,57010
conmonefio,38849
conmoneo,29476
conmonstro,51210
conmorior,132358
conmoro,56892
conmoueo,38693
conmunico,40575
conmuro,53147
connascor,c3442
connaturor,132866
conneco,105974
connecto,53428
connitor,c3418
conniueo,c3420
connodo,105976
connumero,c3444
connuncupo,105978
connuntio,105979
connuo,105980
connutrio,105981
conor,c3446
conpaciscor,132361
conparco,32273
conpareo,47494
conparo,46927
conpartior,132362
conpasco,43356
conpauesco,56261
conpauio,46261
conpedio,49776
conpello,34753
conpendo,47923
conpenso,57074
conperco,50928
conperendino,42870
conperio,37201
conperior,132363
conpesco,52665
conpeto,44490
conpilo,31803
conpingo,44916
conplaceo,34930
conplaco,48926
conplano,45117
conplecto,53210
conplector,132364
conpleo,41361
conplico,39103
conplodo,56053
conploro,56576
conpluor,132365
conpono,29831
conporto,33847
conpotio,51688
conpoto,34155
conpraecido,41617
conprehendo,50684
conprehenso,40743
conprendo,30536
conprimo,37196
conprobo,34312
conpromitto,43559
conpulso,56154
conpungo,36240
conpurgo,52472
conputesco,29680
conputo,35190
conputresco,46721
conquadro,c3448
conquadruplo,c3449
conquaero,41980
conquasso,c3451
conquaterno,105988
conqueror,c3452
conquiesco,c3454
conquinisco,c3455
conquino,50906
conquiro,c3456
conrado,37488
conregno,31095
conrepo,46737
conrepto,35088
conresuscito,35229
conrideo,53329
conrigo,30488
conripio,52058
conriuo,30918
conroboro,36111
conrodo,37217
conrogo,33569
conrotundo,41543
conrugo,55994
conrumpo,56272
conruo,30341
conrutundo,35237
consacro,48907
consaepio,c3460
consaepto,c3461
consaluto,c3463
consancio,105993
consanesco,c3464
consano,c3467
consarcino,c3468
consarcio,c3469
consario,c3470
consarrio,53754
consaucio,c3471
consauio,98001
consauior,132867
conscelero,c3472
conscendo,c3473
conscindo,c3475
conscio,c2403
conscisco,c3476
conscreor,c3479
conscribillo,c3480
conscribo,c3481
conseco,c3484
consecor,132368
consecro,c3489
consecror,132868
consecto,106010
consector,c3496
consedeo,c3499
consedo,c3500
consemino,106017
consenesco,c3506
consentio,c3510
consepelio,c3512
consepio,45634
consepto,106026
consequor,c3514
consermonor,c3515
consero,c3517
conseruo,c3526
consideo,106040
considero,c3532
consido,c6524
consignifico,106046
consigno,c6528
consilesco,c6529
consilior,c3536
consimilo,c3540
consipio,c3541
consisto,c3543
consocio,c3555
consolido,c3568
consolo,c3569
consolor,132373
consoluo,c3570
consomnio,c3571
consono,c3573
consopio,c3575
conspargo,49792
conspatior,c3581
conspelio,48796
conspergo,c3583
conspicio,c3588
conspicor,c3590
conspicuo,106076
conspiro,c4835
conspisso,c3595
consplendesco,c3596
conspolio,c3597
conspondeo,c3599
conspondeo,55229
conspuo,c3601
conspurco,c3602
consputo,c3603
constabilio,c3604
constagno,c3605
constat,51710
consterno,c3610
constipo,c3615
constirpo,106097
constituo,c3616
consto,c3620
constrepo,c3622
constricto,c3625
constringo,c3626
construo,c3628
constupeo,30470
constupesco,c3629
constupro,c3632
consuadeo,c3633
consuauio,c3635
consuauior,132870
consubigo,106114
consubsido,c3637
consudasco,28957
consudesco,c3641
consudo,c3642
consuefacio,c3643
consuefio,c6643
consueo,c3644
consuesco,c2511
consuleo,106119
consulo,c3652
consulto,c3656
consum,32294
consummo,c6657
consumo,c3658
consuo,c3662
consupplico,$0019
consurgo,c3664
consusurro,c3666
contabefacio,c3670
contabefio,c4860
contabesco,c3671
contabulo,c3673
contamino,c3683
contaxo,106149
contechnor,c3686
contego,c3687
contemero,c3688
contemno,c3690
contempero,c3692
contemplo,c3701
contemplor,132376
contempno,106158
contemporo,c3705
contendo,c3712
contenebrasco,c3713
contenebresco,c3715
contenebrico,106171
contenebro,c3716
contento,c3720
conterebro,c3721
contereo,34088
conterito,39309
contermino,c3722
conterno,c3725
contero,c3726
conterreo,c3728
conterrito,c3729
contessero,c3731
contestificor,c3734
contestor,c3735
contexo,c3736
conticeo,c3740
conticesco,c3740
conticisco,c3740
contigno,c3746
contiguo,c3748
contineo,c3750
contingo,c3751
continguo,106191
continor,c3752
continuo,c3757
continuor,c3752
contionor,c3765
conto,106196
contollo,c3770
contonat,c3772
contono,98021
contor,c4622
contorpeo,106199
contorqueo,c3774
contorreo,c3775
contracto,98022
contradico,c3787
contrado,c3792
contraeo,30351
contrafacio,45765
contrafaco,39771
contraho,c3794
contralego,106212
contrapono,c3795
contrario,106217
contrarior,c3799
contrascribo,c3802
contrasisto,c3804
contrasto,106222
contrauenio,c3805
contrecto,c3811
contremesco,c3813
contremisco,c3813
contremo,c3813
contreo,36468
contribulo,c3817
contribuo,c3818
contrico,c3820
contrio,c3821
contristo,c3823
controuersor,c3829
controuerto,30473
contrucido,c3831
contrudo,c3832
contrunco,c3833
contueor,c3836
contumelio,c3840
contumelior,132874
contumesco,c3842
contumulo,c3843
contundo,c3844
contuo,31597
contuor,c3836
conturbo,c3847
conturmo,c3849
contutor,c3853
conuador,c3854
conualesco,c3855
conualido,35632
conuallo,c3858
conualo,49192
conuario,c3859
conuaso,c3860
conuecto,c3864
conuegeto,c3867
conueho,c3868
conuehor,132876
conuello,c3869
conuelo,c3870
conuenio,c3872
conuenit,41812
conuento,c3878
conuenusto,c3879
conuerbero,c3880
conuergo,c3881
conuerro,c3883
conuerso,c3889
conuersor,132383
conuerto,c3892
conuertor,132384
conuescor,c3894
conuestio,c3895
conuexo,c3899
conuibro,c3901
conuicior,c3905
conuinco,c3909
conuiolo,c3911
conuiresco,c3913
conuiscero,c3914
conuisero,52976
conuiso,c3915
conuitio,106294
conuitior,132877
conuiuifico,c3921
conuiuo,c3924
conuiuor,c3926
conuoco,c3931
conuolnero,106303
conuolo,c3932
conuoluo,c3934
conuoluto,35311
conuolutor,c3933
conuomo,c3937
conuoro,c3938
conuorro,30813
conuorto,98033
conuoueo,c3939
conuulnero,c3941
coobaudio,106310
coolesco,106312
coonero,106314
coonusto,106315
cooperio,c3951
cooperior,132388
coopero,33956
cooperor,c3952
coopto,c3955
coordino,30287
coorior,c3956
coorno,106323
coperio,98034
copior,c3962
copto,c3955
copulo,c3978
copulor,132392
coquino,c3986
coquito,c3990
coquito,33243
coquo,c3991
coracino,c3997
corcinor,c4015
cornesco,c4039
cornicor,c4044
coro,c4706
corono,c4078
corporasco,c4082
corporesco,106386
corporo,c4086
corporor,132880
corpulento,106389
corrado,c4093
correcumbo,c4097
corregno,c4100
correpo,c4101
correpto,c4104
correquiesco,106399
correspondeo,44205
corresquio,106400
corresurgo,106401
corresuscito,c4107
corrideo,c4109
corrigo,c4111
corripio,c4112
corriuo,c4116
corrixor,c4117
corroboro,c4120
corrodo,c4122
corrogo,c4124
corrotundo,c4125
corrugo,c4128
corrumpo,c4130
corruo,c4131
corruspor,c4141
corrutundo,50418
corusco,c4162
cosentio,106440
cosidero,52531
cosigno,42219
cosmitto,51698
cossigero,c4190
cottidio,106470
counio,106474
couno,106477
coutor,c4220
coxigo,c4226
crapulor,c4238
crassesco,c4247
crassifico,c4249
crasso,c4254
cratio,c4268
crebesco,35967
crebresco,c4279
credito,c4287
credo,c4290
creduo,38780
cremento,c4297
cremito,c4301
cremo,c4304
creo,c4307
crepito,c4322
crepo,c4324
cresco,c4331
cresso,55688
cribello,c4344
cribro,c4347
crimino,33466
criminor,c4354
crinio,c4359
criso,c4367
crispico,c4369
crispio,c4370
crispo,c4373
crisso,30228
croccio,c4390
crocino,54373
crocinor,132884
crocio,21908
crocito,c4396
croco,c4864
crotalisso,c4414
crotolo,c4418
crucifico,106578
crucifigo,c4430
crucio,c4433
crudelesco,c4439
crudesco,c4442
crudito,c4445
cruento,c4449
crumino,c4453
crusto,c4465
crystallizo,38945
cubito,c4491
cubo,c4494
cuccubio,c4496
cucubio,106612
cucubo,56196
cuculio,98058
cuculo,c4504
cucurio,106618
cucurrio,c4521
cudo,c4524
culio,106632
culmino,c4559
culo,c4561
culpito,c4565
culpo,c4566
cultello,c4568
cumbo,106643
cummino,c4594
cumulo,c4604
cuncto,36548
cunctor,c4622
cuneo,c4626
cunio,c4639
cupio,c4656
cupisco,c2609
curago,c4673
curito,c4704
curo,c4706
curro,c4712
cursito,c4720
curso,c4721
curto,c4726
curuesco,c4733
curuo,c4736
cuso,c4743
cuspido,c4747
custodio,c4755
cutio,106715
cyathisso,c4769
cymbago,106738
cymbalisso,c4798
dabattuo,106774
daemonizor,132885
damnifico,d0035
damno,d0038
dampno,41346
dapino,d0051
dato,d0066
deacino,d0073
deacuo,d0075
deago,d0076
dealbo,d0080
deambulo,d0084
deamo,d0085
deardeo,d0086
deargento,d0087
deargumentor,132886
dearmo,d0088
deartuo,d0089
deasceo,33292
deascio,d0090
deauro,d0093
debaccho,58410
debacchor,d0095
debattuo,d0096
debatuo,106820
debello,d0100
debeo,d0101
debibo,d0102
debilito,d0106
deblatero,d0110
debrachiolo,d0111
debrio,d0112
debuccino,106834
debucino,d0114
debullio,106838
decachinno,d0115
decacumino,d0118
decalantico,106846
decalautico,d0120
decalco,31517
decalefacio,106849
decalesco,106850
decalifacio,50467
decalifio,51127
decaluo,d0124
decano,d0128
decanto,d0130
decapito,d0132
decarmino,35984
decarno,d0135
decarpo,39554
decaulesco,d0141
dececro,49616
decedo,d0142
decello,d0143
decemplico,d0154
deceo,36685
decepto,d0171
decerno,d0177
decerpo,d0178
decerto,d0182
decet,d0186
decharmido,40010
decido,d0188
decido,d0189
decimo,d0199
decineresco,d0201
decipio,d0202
decircino,d0204
decito,d0206
declamito,d0211
declamo,d0212
declaro,d0216
declino,d0220
decludo,d0224
decoco,43170
decolligo,106912
decollo,d0228
decolo,d0229
decoloro,d0232
deconcilio,d0235
decondo,d0236
decontor,132398
decoquo,d0238
decorio,d0243
decoro,d0245
decortico,d0247
decremo,d0252
decresco,d0254
decrimino,d0259
decrusto,106929
decubo,d0260
deculco,d0261
deculpo,106932
deculto,d9262
decumbo,98097
decumbo,d0264
decumo,d0199
decunctor,d0265
decuplo,d0267
decurio,d0274
decurro,d0279
decursito,106945
decurto,d0283
decusso,d0293
decutio,d0295
dedamno,d0296
dedeceo,32186
dedecet,d0297
dedecoro,d0303
dedect,36895
dedico,d0311
dedigno,58236
dedignor,d0313
dedisco,d0314
dedo,d0318
dedoceo,d0319
dedoleo,d0320
dedolo,d0322
dedomo,d9322
deduco,d0323
deerro,d0330
defaeco,d0333
defaenero,d0334
defatigo,d0341
defatisco,106972
defatiscor,132888
defeco,32763
defectito,106977
defendito,29129
defendo,d0347
defenero,106981
defensito,d0356
defenso,d0358
defero,d0362
deferuefacio,d0363
deferuefio,d2427
deferueo,d9892
deferuesco,d0365
defetigo,d0342
defetisco,106990
defetiscor,d0366
deficio,d0367
defico,106994
defigo,d0368
defiguro,d0369
defindo,d0370
defingo,d0371
definio,d0372
defio,d0377
defiteor,d0378
deflagro,d0380
deflammo,d0381
deflecto,d0382
defleo,d0383
deflo,d0386
deflocco,d0387
defloreo,d0390
defloresco,d9875
deflorio,51676
defloro,d0391
defluo,d0392
defodio,d0396
defoedo,107009
defolio,107010
defomito,107012
defomo,107013
deforcio,57775
deformo,d0403
defrango,d0404
defraudo,d0408
defremo,d0409
defrico,d0413
defrigesco,d0414
defringo,d0415
defrondo,107025
defrudo,98105
defrugo,d0416
defruor,d0418
defrusto,d0419
defrustror,d0420
defruto,d0422
defugio,d0425
defugo,d0426
defulguro,d0427
defundo,d0430
defungor,d0431
defuro,d0432
defusto,d0434
defutuo,57104
degemo,d0436
degenero,d0438
degenio,d0439
degero,d0440
deglabro,d0441
deglubo,d0442
deglutino,d0443
deglutio,107045
degluttio,d0444
dego,d0445
degrado,d0447
degrandinat,d0448
degrassor,d0449
degrauo,d0450
degredior,d0451
degrumo,d0453
degrumor,132892
degrunnio,d0454
degulo,d0456
deguno,d0457
degusto,d0460
degyro,107057
dehabeo,d0461
dehaurio,d0462
dehibeo,d9462
dehisco,d0464
dehonesto,d0468
dehonoro,d0470
dehorio,107062
dehortor,d0475
dehospitor,d0476
deicio,d0478
deiecto,d0481
deiero,d0484
deieror,132893
deifico,d0486
deiicio,29240
deintegro,d0491
deito,107075
deiudico,d0497
deiugo,d0499
deiungo,d0500
deiuro,45329
deiuuo,d0502
delabor,d0503
delaboro,d0504
delacero,d0505
delacrimo,d0508
delacrumo,56284
delaeuo,107080
delambo,d0509
delamentor,d0510
delanio,d0511
delapido,d0512
delapidor,132895
delargior,132896
delasso,d0514
delato,d8515
delatro,d9508
delauo,d9510
delecto,d0518
delector,132405
delego,d0523
deleiro,107100
delenio,d0526
deleo,d0529
delero,47471
deleuo,d0536
delibero,d0543
delibo,d0544
delibro,d0546
delibuo,d0547
delicio,d0553
delicior,d0556
delico,d0558
deligo,d0564
deligo,d0563
delimito,d0566
delimo,d0567
delineo,d0569
delingo,d0570
delinguo,44624
delinio,d0526
delino,d0571
delinquo,d0573
deliquesco,d0574
deliquo,d0577
deliro,d0582
deliteo,107126
delitesco,22224
delitigo,d0584
delitisco,d0585
delito,40647
deloquor,d0589
delucto,d0596
deluctor,132899
deludifico,d0597
deludo,d0598
delumbo,d0600
deluo,d2431
delustro,d0604
deluto,d0605
demadesco,d0606
demando,d0609
demano,d0611
demarcesco,107143
dematrico,d0615
dematuro,107146
demeio,107147
dementio,d0620
demento,d0621
demeo,d0622
demereo,d0623
demereor,132406
demergo,d0624
demerso,d0626
demetior,132407
demeto,d0628
demeto,107156
demetor,d1607
demigro,d0630
demingo,107157
deminoro,d0632
deminuo,d0633
demiror,d0636
demitigo,d0639
demitto,d0640
demo,d0641
demolio,22248
demolior,d0644
demollio,d9646
demoneo,107167
demonstro,d0653
demordeo,d0655
demorior,d0656
demoror,d0657
demorsico,d0658
demorsito,51060
demoueo,d0660
demugio,d0661
demulceo,d0662
demulco,d0663
demuneror,d0665
demurmuro,d0666
demusso,d0667
demutilo,d0671
demuto,d0672
demuttio,d0673
denarro,d0677
denascor,d0678
denaso,d0679
denato,d0680
denauigo,d0681
denego,d0690
denigro,d0694
denobo,98123
denodo,107191
denomino,d0699
denormo,d0701
denoto,d0704
denseo,d0708
densesco,d1464
densito,d0710
