lemma,uri
admigro,a0648
admineo,$0151
adminiculo,a0653
adminiculor,132193
administro,a0662
admiror,a0668
admisceo,a0669
admitto,a0676
admoderor,a0679
admodulo,101804
admodulor,a0680
admoenio,a0682
admolior,a0683
admonefacio,29173
admonefio,36180
admoneo,a0684
admordeo,a0690
admoueo,a0692
admugio,a0693
admulceo,a0694
admulco,34113
admunio,a0695
admurmuro,a0697
admurmuror,132198
admutilo,a0698
adnarro,a0699
adnato,a0700
adnauigo,a0701
adnecto,a0703
adnego,a0704
adnicto,a0707
adnihilo,38393
adnililo,35242
adnitor,a0708
adno,a0709
adnodo,a0710
adnomino,a2062
adnosco,101825
adnoto,a0716
adnubilo,a0717
adnullo,19427
adnumero,a0718
adnuntio,a0719
adnuo,a0721
adnuto,a0722
adnutrio,a0723
adobruo,a0724
adoleo,a1875
adolescentior,132809
adolescenturio,101838
adolesco,a0727
adoperio,a0729
adoperor,a0730
adopinor,a0732
adopperior,a0733
adopto,a0740
adordino,a0748
adorio,40148
adorior,a0751
adorno,a0752
adoro,a0753
adosculor,a0754
adpango,41310
adpareo,43845
adparesco,56780
adparet,38774
adpario,51644
adparo,49585
adpectoro,45351
adpellito,34040
adpello,36135
adpendeo,56098
adpendo,29665
adpertineo,40087
adpetisso,33832
adpeto,39069
adpingo,30935
adplaudo,46325
adplico,41109
adplodo,53690
adploro,32177
adplumbo,53803
adpono,30678
adporto,42395
adposco,28482
adpostulo,55785
adprecor,132203
adprehendo,51863
adprendo,53195
adprenso,56351
adpretio,40305
adprimo,42967
adprobo,35330
adpromitto,29067
adprono,45443
adpropero,51941
adpropinquo,38942
adpropio,50954
adproprio,41133
adproximo,42763
adpugno,30840
adquiesco,19447
adquieto,56005
adquiro,19448
adrado,a0757
adremigo,a0758
adrepo,41271
adrideo,33000
adrigo,97523
adripio,19453
adrodo,19455
adrogo,19458
adroro,45273
adrumo,a0759
adruo,a0760
adsaluto,101871
adscendo,56109
adscio,44429
adscisco,55447
adscribo,97526
adsector,132204
adsellor,132205
adsenesco,56787
adsentio,19468
adsentior,132206
adsentor,132207
adsequor,132208
adsero,19471
adseruio,31181
adseruo,19473
adseuero,19476
adsibilo,36295
adsiccesco,19477
adsicco,19478
adsideo,38353
adsido,19479
adsiduo,101875
adsignifico,19485
adsigno,19486
adsilio,19487
adsimilo,33365
adsimulo,19490
adsisto,56932
adsocio,19491
adsoleo,28732
adsolet,32501
adsolo,41883
adsono,19492
adspargo,57184
adspecto,51624
adspergo,54303
adspicio,31085
adspiro,44219
adspuo,56048
adsterno,36703
adstipulo,29482
adstipulor,132209
adstituo,45596
adsto,19497
adstrangulo,19498
adstrepo,97529
adstrideo,31530
adstrido,19501
adstringo,19502
adstruo,19503
adstupeo,32038
adsubrigo,101884
adsudasco,97530
adsudasso,101885
adsudesco,101886
adsudo,101887
adsuefacio,41527
adsuefio,50449
adsuesco,36924
adsugo,97531
adsulto,19506
adsum,a0761
adsumo,19509
adsuo,56453
adsurgo,19511
adsuscipo,41769
adsuspiro,38898
adtempero,40513
adtempto,46882
adtendo,47965
adtento,32287
adtenuo,38416
adtermino,19512
adtero,52084
adtestor,132210
adtexo,97532
adtigo,36622
adtillo,45346
adtineo,44592
adtingo,51346
adtinguo,52756
adtitulo,19513
adtolero,35868
adtollo,29048
adtolo,101890
adtondeo,43470
adtono,55989
adtorqueo,34783
adtracto,42330
adtraho,55744
adtrecto,97533
adtremo,44579
adtrepido,35762
adtribulo,43580
adtribuo,42440
adtumulo,101894
aduecto,a0764
adueho,a0766
aduelitor,$0152
aduelo,a0768
adueneror,a0770
aduenio,a0772
aduento,a0774
aduerbero,a0777
aduereor,132812
aduergo,a0780
aduerro,a0781
aduerso,a0792
aduersor,a0793
aduerto,a0796
aduesperascit,a0797
aduesperasco,97540
aduigilo,a0799
aduio,$0027
aduiuo,a0800
adulescentior,a0807
adulescenturio,a0809
adulesco,a0727
adulo,a0810
adulor,132213
adultero,a0820
adumbro,a0822
adunco,a0811
adundo,101919
aduno,a9962
aduocito,101923
aduoco,a0829
aduolito,a0831
aduolo,a0832
aduoluo,a0833
aduorso,101928
aduorsor,132767
aduorto,97542
adurgeo,a0835
aduro,a0836
adzelor,a0841
aedifacio,19556
aedifico,a0852
aeditimor,132217
aeditumor,a0860
aedituo,a0862
aegreo,a0880
aegresco,a0880
aegroto,a0890
aemulo,56749
aemulor,a0900
aequidisto,38219
aequilibro,a0940
aequiparo,56187
aequipero,a0951
aequiualeo,46506
aequo,a0961
aero,a0985
aerugino,a0994
aerusco,a1003
aesculor,a1014
aestimo,a1025
aestiuo,a1028
aestumo,97559
aestuo,a1034
aeterno,a1042
aeuifico,a1054
affabricor,a1064
affaueo,a8068
affecto,a1076
affector,132220
affero,a1079
affestino,a1080
afficio,a1081
affigo,a1084
affiguro,a1085
affingo,a1087
affio,a1188
affirmo,a1093
afflecto,a1098
affleo,a1099
afflicto,a1101
affligo,a1104
afflo,a1105
affluo,a1108
affodio,a1111
affor,a1112
afformido,a1113
affrango,a1114
affremo,a1115
affrico,a1116
affringo,56834
affrio,a1117
affulgeo,a1118
affundo,a1119
affundor,132222
affuo,48437
affurcillo,a1120
afluo,a1122
agero,a8138
ageto,46901
aggarrio,a1139
aggaudeo,a1140
aggemo,a1141
aggenero,a1142
aggeniculor,a1144
aggero,a1149
aggero,a1150
agglomero,a1152
agglutino,a1154
aggrauesco,a1156
aggrauo,a1157
aggredio,102054
aggredior,a1158
aggrego,a9967
agguberno,a1164
agino,a1169
agito,a1176
agnascor,a1183
agnomino,$0161
agnosco,a1204
ago,a1208
agonio,38870
agonizo,19666
agonizor,a1216
agricolor,a1236
agro,102102
aio,a1250
ait,38718
alapizo,102121
alapo,102122
alapor,a1267
albeo,a9041
albesco,a1282
albicasco,a1285
albico,a1290
albicor,132229
albisco,102134
albo,a1299
alesco,a1333
alfabricor,132817
algeo,a1337
algesco,a1337
alienigero,a1359
alieno,a1362
aliquantillum,42329
alito,a1379
allabor,a1384
allaboro,a1385
allacrimo,a1386
allacrymo,102182
allacto,a1387
allaeuo,102183
allambo,a1388
allatro,a1390
allaudo,a1392
allauo,a1393
allecto,a1398
allego,a1404
allego,a1403
allegorizo,a1408
alleuio,a1414
alleuo,a1378
alleuo,a1415
allibesco,48978
allicefacio,a1416
allicefio,a1476
allicio,a1417
allido,a1418
alligo,a1424
allino,a1426
alloco,33570
alloquor,a1434
allubesco,a1436
alluceo,a1437
allucinor,132818
alluctor,a1439
alludio,a1440
alludo,a1441
alluo,a1442
alo,a1457
alogior,a1461
alsito,a1474
alterco,19733
altercor,a1486
alterno,a1493
altero,a1495
altesco,a1499
altifico,a1508
alto,a1527
alucinatio,33661
alucinor,a1537
alumno,44461
alumnor,a1552
amando,a1570
amaneo,a1571
amaresco,a1576
amarico,a1578
amaricor,132236
amarifico,a1579
amarizo,a1585
amaro,a1586
amasco,a1590
amaturio,a1600
ambadedo,47848
ambedo,a1612
ambeo,
ambigo,a1622
ambio,a1626
ambo,97592
ambolo,102307
ambulo,a1650
amburo,a1653
amendo,a1570
amento,a8662
amercio,50958
amicio,a1679
amico,a1682
amicor,132820
amictor,a1684
amigro,a1688
amito,a1692
amitto,a1723
ammaturo,47077
ammento,a1694
ammeo,42020
ammigro,52797
amminiculo,37705
amministro,54632
ammisceo,32778
ammitto,46601
ammoenio,36564
ammonefacio,34787
ammonefio,55826
ammoneo,53004
ammordeo,33894
ammoueo,45617
ammugio,43573
ammulco,28275
ammurmuro,48152
ammutilo,53982
amo,a1705
amoeno,a1709
amolior,a1712
amolo,102361
amoueo,a1724
ampecto,102368
amplecto,97604
amplector,a1762
amplexo,44933
amplexor,a1766
amplifico,a1772
amplio,a1774
amplo,a1777
amploctor,132822
amptruo,a1781
ampullor,a1786
amputo,a1792
amtruo,34639
amussito,44953
amylo,a1812
analyzo,46681
anathematizo,a1895
anathemo,a1896
anaxo,102480
ancillo,102488
ancillor,a1919
anclo,a1925
anclor,132823
anculo,102503
andruo,a1951
aneo,a1957
anesco,a1957
angario,a1971
angarizo,102533
ango,a1983
angorio,46210
angulo,a2002
